Key,English(en),French(fr),German(de),Hindi(hi),Italian(it),Polish(pl),Russian(ru),Spanish(es),Ukrainian(uk),Turkish(tr)
init.age_unit,winter cycles,cycles d'hiver,Winterzyklen,शीतकालीन चक्र,cicli invernali,cykle zimowe,зимних циклов,ciclos de invierno,зимових циклів,kış döngüsü
term.user_entity,Master,Maître,Meister,मास्टर,Maestro,Mistrz,Мастер,Maestro,Майстер,Usta
term.currency,Horas,Horas,Horas,Horas,Horas,Horas,Horas,Horas,Horas,Horas
term.hub_space,Nexus,Nexus,Nexus,नेक्सस,Nexus,Nexus,Нексус,Nexus,Нексус,Nexus
term.search_action,Symmetry,Symétrie,Symmetrie,समरूपता,Simmetria,Symetria,Симметрия,Simetría,Симетрія,Simetri
term.active_interaction,Harmony,Harmonie,Harmonie,तालमेल,Armonia,Harmonia,Гармония,Armonía,Гармонія,Uyum
term.active_interaction.business,SYNERGY,SYNERGIE,SYNERGIE,तालमेल,SINERGIA,SYNERGIA,СИНЕРГИЯ,SINERGIA,СИНЕРГІЯ,SİNERJİ
term.active_interaction.casual,CHILLIN,DÉTENTE,CHILLEN,чилिन,CHILLIN,CHILLIN,ЧИЛЛИН,CHILLIN,ЧІЛЛІН,CHILLIN
term.active_interaction.tech,PROCESS_SYNC,SYNC_PROCESSUS,SYNC_PROZESS,प्रक्रिया_सिнк,SYNC_PROCESSO,SYNC_PROCESU,СИНХ_ПРОЦЕССА,SYNC_PROCESO,СИНХ_ПРОЦЕСУ,SÜREÇ_SENK
term.reputation,Status,Statut,Status,स्थिति,Status,Status,Статус,Estado,Статус,Statü
term.social_feed,Convergence,Convergence,Konvergenz,अभिसरण,Convergenza,Konwergencja,Конвергенция,Convergencia,Конвергенція,Yakınsama
term.avatar,Visage,Visage,Antlitz,चेहरे,Volto,Oblicze,Облик,Rostro,Образ,Görünüm
term.profile,Aura,Aura,Aura,औरा,Aura,Aura,Аура,Aura,Аура,Aura
term.profile.business,NETWORKING,RÉSEAUTAGE,NETZWERK,नेटवर्किंग,NETWORKING,NETWORKING,НЕТВОРКИНГ,NETWORKING,НЕТВОРКІНГ,AĞ KURMA
term.profile.casual,MY VIBE,MON VIBE,MEIN VIBE,मेरा वाइб,IL MIO VIBE,MÓJ VIBE,МОЙ ВАЙБ,MI VIBE,МІЙ ВАЙБ,VIBE'IM
term.profile.tech,USER_DATA,DONNÉES_UTILISATEUR,BENUTZERDATEN,उपयोगकर्ता_डेटा,DATI_UTENTE,DANE_UŻYTKOWNIKA,ДАННЫЕ_ПОЛЬЗОВАТЕЛЯ,DATOS_USUARIO,ДАНІ_КОРИСТУВАЧА,KULLANICI_VERISI
term.post,Chronicle,Chronique,Chronik,कालक्रम,Cronaca,Kronika,Хроника,Crónica,Хроніка,Kronoloji
term.feed,Feed,Flux,Feed,फीड,Flusso,Strumień,Лента,Flujo,Стрічка,Akış
term.story,Fate,Destin,Schicksal,भाग्य,Destino,Los,Судьба,Destino,Доля,Kader
term.login,Initiate Harmony,Initiation de l'Harmonie,Einweihung der Harmonie,हार्मोні आरंभ करें,Inizia l'Armonia,Rozpocznij Harmonię,Инициировать Гармонию,Iniciar Armonía,Започаткувати Гармонію,Uyumu Başlat
term.login.mystic,START RITUAL,COMMENCER LE RITUEL,RITUAL BEGINNEN,अनुष्ठान शुरू करें,INIZIA RITUALE,ROZPOCZNIJ RYTUAŁ,НАЧАТЬ РИТУАЛ,INICIAR RITUAL,ПОЧАТИ РИТУАЛ,RİTÜELİ BAŞLAT
term.login.business,LOG IN,SE CONNECTER,ANMELDEN,लॉग इन करें,ACCEDI,ZALOGUJ SIĘ,ВОЙТИ,INICIAR SESIÓN,УВІЙТИ,GİRİŞ YAP
term.login.casual,LET'S GO!,C'EST PARTI !,AUF GEHT'S!,चलो चलें!,ANDIAMO!,LECIMY!,ПОГНАЛИ!,¡VAMOS!,ПОГНАЛИ!,HAYDİ!
term.login.tech,LOGIN_SYSTEM,SYSTEM_LOGIN,SYSTEM_ANMELDUNG,लॉगिन_система,LOGIN_SISTEMA,LOGOWANIE_SYSTEMU,ВХОД_В_СИСТЕМУ,INICIO_SISTEMA,ВХІД_У_СИСТЕМУ,SİSTEME_GİRİŞ
term.like,Transform,Transformer,Transformieren,रूपांतरित करें,Trasformare,Transformować,Трансформировать,Transformar,Трансформувати,Dönüştür
term.comment,Connection,Connexion,Verbindung,संबंध,Connessione,Połączenie,Связь,Conexión,Зв'язок,Bağlantı
term.share,Resonate,Résonner,Resonieren,अनुरणन,Risonare,Rezonować,Резонировать,Resonar,Резонувати,Rezonans
term.follow,Align,Aligner,Ausrichten,संरेखित करें,Allineare,Wyrównać,Выровнять,Alinear,Вирівняти,Hizala
term.phone_number,Phone Number,Numéro de téléphone,Telefonnummer,फ़ोन नंबर,Numero di telefono,Numer telefonu,Номер телефона,Número de teléfono,Номер телефону,Telefon Numarası
term.phone_number.mystic,Digital Signature,Signature numérique,Digitale Signatur,डिजिटल हस्ताक्षर,Firma digitale,Cyfrowy podpis,Цифровая подпись,Firma digital,Числовий відбиток,Dijital İmza
term.phone_number.business,Phone Number,Numéro de téléphone,Telefonnummer,फ़ोन नंबर,Numero di telefono,Numer telefonu,Номер телефона,Número de teléfono,Номер телефону,Telefon Numarası
term.phone_number.casual,Your Number,Ton numéro,Deine Nummer,Deine Nummer,Il tuo numero,Twój numer,Твой номер,Tu número,Твій номер,Numaran
term.phone_number.tech,PHONE_ID,ID_TÉLÉPHONE,TELEFON_ID,फोन_आईडी,ID_TELEFONO,ID_TELEFONU,ID_ТЕЛЕФОНУ,ID_TELÉFONO,ID_ТЕЛЕФОНУ,TELEFON_ID
term.logout,Dissolution,Dissolution,Auflösung,वियोजन,Dissoluzione,Rozwiązanie,Растворение,Disolución,Розчинення,Çözülme
term.register,Awakening,Éveil,Erwachen,जागरण,Risveglio,Przebudzenie,Пробуждение,Despertar,Пробудження,Uyanış
term.welcome,The Temple Opens,Le Temple s'ouvre,Der Tempel öffnet sich,मंदिर खुलता है,Il Tempio si apre,Świątynia się otwiera,Храм відкривається,El Templo se abre,Храм відкривається,Tapınak Açılıyor
msg.temple_awaits,The temple awaits your presence.,Le temple attend votre présence.,Der Tempel erwartet deine Anwesenheit.,मंदिर आपकी उपस्थिति की प्रतीक्षा कर रहा है।,Il tempio attende la tua presenza.,Świątynia czeka na twoją obecność.,Храм ожидает вашего присутствия.,El templo espera tu presencia.,Храм чекає на вашу присутність.,Tapınak sizi bekliyor.
msg.temple_awaits.mystic,The threshold of eternity awaits your presence.,Le seuil de l'éternité attend votre présence.,Die Schwelle der Ewigkeit erwartet deine Gegenwart.,अनंतता की दहलीज आपकी उपस्थिति की प्रतीक्षा कर रही है।,La soglia dell'eternità attende la tua presenza.,Próg wieczności czeka na twoją obecność.,Порог вечности ожидает вашего присутствия.,El umbral de la eternidad espera tu presencia.,Поріг вічності чекає на вашу присутність.,Sonsuzluğun eşiği varlığınızı bekliyor.
msg.temple_awaits.business,Awaiting user authentication.,En attente de l'authentification de l'utilisateur.,Warten auf Benutzerauthentifizierung.,उपयोगकर्ता प्रमाणीकरण की प्रतीक्षा है।,In attesa dell'autenticazione utente.,Oczekiwanie na uwierzytelnienie użytkownika.,Ожидание аутентификации пользователя.,Esperando autenticación de usuario.,Очікування автентифікації користувача.,Kullanıcı kimlik doğrulaması bekleniyor.
msg.temple_awaits.casual,"The door's open, come on in!","La porte est ouverte, entre !","Die Tür ist offen, komm rein!","दरवाजा खुला है, अंदर आ जाओ!","La porta è aperta, entra pure!","Drzwi są otwarte, wchodź!","Дверь открыта, заходи!","¡La puerta está abierta, entra!","Двері відчинені, заходь!","Kapı açık, gel içeri!"
msg.temple_awaits.tech,WAITING_FOR_CLIENT_HANDSHAKE...,ATTENTE_HANDSHAKE_CLIENT...,WARTE_AUF_CLIENT_HANDSHAKE...,क्लाइंट_हैंडशेक_की_प्रतीक्षा...,IN_ATTESA_DI_HANDSHAKE_CLIENT...,OCZEKIWANIE_NA_HANDSHAKE_KLIENTA...,ОЖИДАНИЕ_ХЕНДШЕЙКА_КЛИЕНТА...,ESPERANDO_HANDSHAKE_CLIENTE...,ОЧІКУВАННЯ_ХЕНДШЕЙКУ_КЛІЄНТА...,CLIENT_HANDSHAKE_BEKLENIYOR...
msg.signal_clear,Your signal resonates with clarity.,Votre signal résonne avec clarté.,Dein Signal schwingt klar.,आपका सिग्नल स्पष्टता से अनुरणित हो रहा है।,Il tuo segnale risuona con chiarezza.,Twój sygnał rezonuje z jasnością.,Ваш сигнал резонирует с ясностью.,Tu señal resuena con claridad.,Ваш сигнал резонує з ясністю.,Sinyaliniz netlikle rezonans yapıyor.
msg.signal_unclear,The signal is unclear. Please verify your phone number.,Le signal n'est pas clair. Veuillez vérifier votre numéro de téléphone.,Das Signal ist unklar. Bitte überprüfe deine Telefonnummer.,सिग्नल अस्पष्ट है। कृपया अपना फोन नंबर सत्यापित करें।,Il segnale non è chiaro. Verifica il tuo numero di telefono.,Sygnał jest niejasny. Zweryfikuj swój номер telefonu.,"Сигнал неясен. Пожалуйста, проверьте ваш номер телефона.",La señal no es clara. Por favor verifica tu número de teléfono.,"Сигнал неясний. Будь ласка, перевірте свій номер телефону.",Sinyal belirsiz. Lütfen telefon numaranızı doğrulayın.
msg.convergence_begins,The convergence begins...,La convergence commence...,Die Konvergenz beginnt...,अभिसरण शुरू हो रहा है...,La convergenza inizia...,Konwergencja się rozpoczyna...,Конвергенция начинается...,La convergencia comienza...,Конвергенція починається...,Yakınsama başlıyor...
msg.welcome_adept,Welcome. The temple opens for you.,Bienvenue. Le temple s'ouvre pour vous.,Willkommen. Der Tempel öffnet sich für dich.,स्वागत है। मंदिर आपके लिए खुलता है।,Benvenuto. Il tempio si apre per te.,Witaj. Świątynia otwiera się dla ciebie.,Добро пожаловать. Храм открывается для вас.,Bienvenido. El templo se abre para ti.,Ласкаво просимо. Храм відкривається для вас.,Hoş geldiniz. Tapınak sizin için açılıyor.
msg.ritual_interrupted,The ritual was interrupted.,Le rituel a été interrompu.,Das Ritual wurde unterbrochen.,रituал बाधित हुआ।,Il rituale è stato interrotto.,Rytuał został przerwany.,Ритуал был прерван.,El ritual fue interrumpido.,Ритуал був перерваний.,Ritüel kesintiye uğradı.
msg.connection_falters,The connection falters. Please try again.,La connexion faiblit. Veuillez réessayer.,Die Verbindung bricht ab. Bitte versuche es erneut.,कनेक्शन कमजोर हो रहा है। कृपया पुनः प्रयास करें।,La connessione vacilla. Per favore riprova.,Połączenie słabnie. Spróbuj ponownie.,"Соединение слабеет. Пожалуйста, попробуйте снова.",La conexión falla. Por favor intenta de nuevo.,"З'єднання слабшає. Будь ласка, спробуйте знову.",Bağlantı zayıflıyor. Lütfen tekrar deneyin.
msg.disturbance,A disturbance in the flow. Please try again.,Une perturbation dans le flux. Veuillez réessayer.,Eine Störung im Fluss. Bitte versuche es erneut.,प्रवाह में व्यवधान। कृपया पुनः प्रयास करें।,Un disturbo nel flusso. Per favore riprova.,Zakłócenie в przepływie. Spróbuj ponownie.,"Нарушение в потоке. Пожалуйста, попробуйте снова.",Una perturbación en el flujo. Por favor intenta de nuevo.,"Порушення у потоці. Будь ласка, спробуйте знову.",Akışta bir bozulma. Lütfen tekrar deneyin.
msg.seeking_convergence,Initiating Harmony...,Initiation de l'Harmonie...,Harmonie wird eingeleitet...,हार्मोनी शुरू हो रही है...,Iniziando l'Armonia...,Inicjowanie Harmonii...,Инициация Гармонии...,Iniciando Armonía...,Ініціація Гармонії...,Uyum başlatılıyor...
ui.vector_display,{0} Horas,{0} Horas,{0} Horas,{0} Horas,{0} Horas,{0} Horas,{0} Horas,{0} Horas,{0} Horas,{0} Horas
ui.vector_per_hour,Horas: ${0} /hr,Horas : ${0} /h,Horas: ${0} /Std,Horas: ${0} /hr,Horas: ${0} /ora,Horas: ${0} /godz,Horas: ${0} /ч,Horas: ${0} /h,Horas: ${0} /год,Horas: ${0} /saat
ui.resonance_question,How synchronous was the exchange of {0} Horas?,Dans quelle mesure l'échange de {0} Horas était-il synchrone ?,Wie synchron war der Austausch von {0} Horas ?,{0} Horas के आदान-प्रदान की कितनी समरूपता थी ?,Quanto è stato sincrono lo scambio di {0} Horas ?,Jak synchroniczna była wymiana {0} Horas ?,Насколько синхронным был обмен {0} Horas ?,¿Qué tan sincrónico fue el intercambio de {0} Horas ?,Наскільки синхронним був обмін {0} Horas ?,{0} Horas değişimi ne kadar senkrondu ?
ui.mission_widget_title,Mission for Level {0},Mission pour le niveau {0},Mission für Level {0},स्तर {0} के लिए मिशन,Missione per il livello {0},Misja dla poziomu {0},Задания для уровня {0},Misión para el nivel {0},Завдання для рівня {0},Seviye {0} için görev
msg.gratitude_prompt,Leave a Word of Gratitude.,Laissez un mot de gratitude.,Hinterlasse ein Wort der Dankbarkeit.,कृतज्ञता का शब्द छोड़ें।,Lascia una parola di gratitudine.,Zostaw słowo wdzięczności.,Оставьте слово благодарности.,Deja una palabra de gratitud.,Залишіть слово подяки.,Bir şükran kelimesi bırakın.
term.legacy,Master's Legacy,Héritage du Maître,Das Vermächtnis des Meisters,मास्टर की विरासत,L'eredità del Maestro,Dziedzictwo Mistrza,Наследие Мастера,Legado del Maestro,Спадщина Майстра,Ustanın Mirası
term.word_of_gratitude,Word of Gratitude,Mot de gratitude,Wort der Dankbarkeit,कृतज्ञता का शब्द,Parola di gratitudine,Słowo wdzięczności,Слово благодарности,Palabra de gratitud,Слово подяки,Şükran Sözü
radar.ready,READY FOR SYMMETRY,PRÊT POUR LA SYMÉTRIE,BEREIT FÜR SYMMETRIE,समरूपता के लिए तैयार,PRONTO PER LA SIMMETRIA,GOTOWY DO SYMETRII,ГОТОВ К СИММЕТРИИ,LISTO PARA LA SIMETRÍA,ГОТОВИЙ ДО СИМЕТРІЇ,SİMETRİ İÇİN HAZIR
radar.searching,SEARCHING FOR SYMMETRY...,RECHERCHE DE SYMÉTRIE...,SUCHE NACH SYMMETRIE...,समरूपता की खोज...,RICERCA DELLA SIMMETRIA...,WYSZUKIWANIE SYMETRII...,ПОИСК СИММЕТРИИ...,BUSCANDO SIMETRÍA...,ПОШУК СИМЕТРІЇ...,SİMETRİ ARANIYOR...
radar.stop,STOP SCAN,ARRÊTER LE SCAN,SCAN STOPPEN,स्कैन रोकें,FERMA SCANSIONE,ZATRZYMAJ SKANOWANIE,ОСТАНОВИТЬ СКАНИРОВАНИЕ,DETENER ESCANEO,ЗУПИНИТИ СКАНУВАННЯ,TARAMAYI DURDUR
radar.located,SYMMETRY LOCATED: {0},SYMÉTRIE LOCALISÉE : {0},SYMMETRIE GEFUNDEN: {0},समरूपता स्थित: {0},SIMMETRIA INDIVIDUATA: {0},SYMETRIA ZNALEZIONA: {0},СИММЕТРИЯ ОБНАРУЖЕНА: {0},SIMETRÍA LOCALIZADA: {0},СИМЕТРІЮ ЗНАЙДЕНО: {0},SİMETRİ BULUNDU: {0}
radar.init,INITIATING PULSE...,INITIALISATION DE L'IMPULSION...,IMPULS STARTET...,पल्स शुरू हो रहा है...,AVVIO DELL'IMPULSO...,INICJOWANIE IMPULSU...,ЗАПУСК ИМПУЛЬСА...,INICIANDO PULSO...,ІНІЦІАЦІЯ ІМПУЛЬСУ...,PULS BAŞLATILIYOR...
vault.horas_balance,HORAS BALANCE,SOLDE HORAS,HORAS KONTO,होरास बैलेंस,SALDO HORAS,SALDO HORAS,БАЛАНС HORAS,SALDO HORAS,БАЛАНС HORAS,HORAS BAKİYESİ
vault.legacy,SYMMETRIES,SYMÉTRIES,SYMMETRIEN,समरूपता,SIMMETRIE,SYMETRIE,СИММЕТРИИ,SIMETRÍAS,СИМЕТРІЇ,SİMETRİLER
term.phone_placeholder,+380 00 000 0000,+33 0 00 00 00 00,+49 000 00000000,+91 00000 00000,+39 000 000 0000,+48 000 000 000,+7 000 000 00 00,+34 000 000 000,+380 00 000 0000,+90 000 000 00 00
essence.header,RESONATE YOUR AURA,RÉSONNE TON AURA,RESONIERE DEINE AURA,अपनी औरा को अनुरणित करें,RISONA LA TUA AURA,ZAREZONUJ SWOJĄ AURĘ,РЕЗОНИРУЙ СВОЕЙ АУРОЙ,RESONA TU AURA,ПРОЯВИ СВОЮ АУРУ,ÖZÜNÜ REZONANSA GETİR
essence.gifts,AURA COLORS (OFFER),COULEURS D'AURA (OFFRE),AURA-FARBEN (ANGEBOT),औरा रंग (प्रस्ताव),COLORI DELL'AURA (OFFRO),KOLORY AURY (OFERUJĘ),ЦВЕТА АУРЫ (ПРЕДЛАГАЮ),COLORES DE AURA (OFREZCO),КОЛЬОРИ АУРИ (ПРОПОНУЮ),AURA RENKLERİ (TEKLİF)
essence.seeks,AURA COLORS (NEEDS),COULEURS D'AURA (BESOINS),AURA-FARBEN (BEDÜRFNISSE),औरा रंग (आवश्यकताएँ),COLORI DELL'AURA (BISOGNI),KOLORY AURY (POTRZEBY),ЦВЕТА АУРЫ (ПОТРЕБНОСТИ),COLORES DE AURA (NECESIDADES),КОЛЬОРИ АУРИ (ПОТРЕБИ),AURA RENKLERİ (İHTİYAÇLAR)
essence.custom,FORGE YOUR OWN PATH,FORGE TON PROPRE CHEMIN,SCHMIEDE DEINEN EIGENEN WEG,अपना स्वयं का मार्ग गढ़ें,FORGIA IL TUO CAMMINO,KOWAL SWOJĄ WŁASNĄ ŚCIEŻKĘ,КУЙ СВОЙ СОБСТВЕННЫЙ ПУТЬ,FORJA TU PROPIO CAMINO,СТВОРІТЬ ВЛАСНИЙ ШЛЯХ,KENDİ YOLUNU DÖV
essence.confirm,ACTIVATE AURA,ACTIVER L'AURA,AURA AKTIVIEREN,औरा सक्रिय करें,ATTIVA AURA,AKTYWUJ AURĘ,АКТИВИРОВАТЬ АУРУ,ACTIVAR AURA,АКТИВУВАТИ АУРУ,AURA'YI AKTİFLEŞTİR
essence.visage_hint,A Visage draws Harmony closer,Un Visage rapproche l'Harmonie,Ein Antlitz bringt Harmonie näher,चेहरा सद्भाव को करीब लाता है,Un Visage avvicina l'Armonia,Oblicze przybliża Harmonię,Лик приближает Гармонию,Un Visage acerca la Armonía,Обличчя наближає Гармонію,Bir sima Uyumu yakınlaştırır
essence.visage_required,A Visage is required to seal this Symmetry,Un Visage est requis pour sceller cette Symétrie,"Ein Antlitz ist erforderlich, um diese Symmetrie zu besiegeln",इस समरूपता को सील करने के लिए चेहरा आवश्यक है,È richiesto un Visage per sigillare questa Simmetria,"Oblicze jest wymagane, aby przypieczętować tę Symetrię",Для скрепления этой Симметрии требуется Лик,Se requiere un Visage para sellar esta Simetría,Для закріплення цієї Симетрії потрібне Обличчя,Bu Simetriyi mühürlemek için bir sima gereklidir
nav.radar,RADAR,RADAR,RADAR,रडार,RADAR,RADAR,РАДАР,RADAR,РАДАР,RADAR
nav.feed,FEED,FLUX,FEED,फीड,Flusso,Strumień,Лента,Flujo,Стрічка,Akış
nav.vault,VAULT,CHAMBRE FORTE,VAULT,वॉल्ट,VAULT,Skarbiec,Хранилище,Bóveda,Сховище,Kasa
tag.code,Code,Code,Code,कोड,Codice,Kod,Код,Código,Код,Kod
tag.design,Design,Design,Design,डिज़ाइन,Design,Projektowanie,Дизайн,Diseño,Дизайн,Tasarım
tag.writing,Writing,Écriture,Schreiben,लेखन,Scrittura,Pisanie,Письмо,Escritura,Письмо,Yazı
tag.healing,Healing,Guérison,Heilung,उपचार,Guarigione,Uzdrawianie,Исцеление,Curación,Зцілення,İyileşme
tag.strategy,Strategy,Stratégie,Strategie,रणनीति,Strategia,Strategia,Стратегия,Estrategia,Стратегія,Strateji
tag.art,Art,Art,Kunst,कला,Arte,Sztuka,Искусство,Arte,Мистецтво,Sanat
tag.visionary,Visionary,Visionnaire,Visionär,दूरदर्शी,Visionario,Wizjoner,Визионер,Visionario,Візіонер,Vizyoner
tag.music,Music,Musique,Musik,संगीत,Musica,Muzyka,Музыка,Música,Музика,Müzik
tag.crypto,Crypto,Crypto,Krypto,क्रिप्टो,Cripto,Krypto,Крипто,Cripto,Крипто,Kripto
radar.masters_near,MASTERS NEARBY,MAÎTRES À PROXIMITÉ,MEISTER IN DER NÄHE,आस-पास के मास्टर,MAESTRI NELLE VICINANZE,MISTRZOWIE W POBLIŻU,МАСТЕРОВ РЯДОМ,MAESTROS CERCANOS,МАЙСТРІВ ПОРУЧ,YAKINDAKİ USTALAR
radar.start_pulse,RESONATE,RÉSONNER,RESONIEREN,अनुरणन,RISONA,RESONUJ,РЕЗОНИРОВАТЬ,RESONAR,РЕЗОНУВАТИ,REZONANS KUR
init.err_short,The path requires a longer number...,Le chemin nécessite un numéro plus long...,Der Pfad erfordert eine längere Nummer...,पथ के लिए लंबा नंबर आवश्यक है...,Il percorso richiede un numero più lungo...,Ścieżka wymaga dłuższego numeru...,Путь требует более длинного номера...,El camino requiere un número más largo...,Шлях вимагає довшого номера...,Yol daha uzun bir numara gerektiriyor...
